Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-03-17,11:19:16,SETUP,LONG,M1,19931.0,19891.0,19981.0,20056.0,1,6,3,0,-30.0,3000.0,0,,0,0,0,0.0,0.0,0,0,0.9,0,1,0,v12.25-py
2025-03-17,11:19:16,EXIT,LONG,M1,19931.0,19891.0,19981.0,20056.0,1,6,3,0,-30.0,3000.0,19891.0,STOP,4,98.0,8.5,-805.0,-805.0,0,0,0.9,0,1,0,v12.25-py
2025-03-21,10:39:28,SETUP,SHORT,M1,19719.25,19758.75,19678.0,19620.5,1,5,-1,0,-314.0,3000.0,0,,0,0,0,0.0,-805.0,0,0,0.9,0,1,0,v12.25-py
2025-03-21,10:39:28,EXIT,SHORT,M1,19719.25,19758.75,19678.0,19620.5,1,5,-1,0,-314.0,3000.0,19758.75,STOP,5,39.25,24.0,-795.0,-1600.0,0,0,0.9,0,1,0,v12.25-py
2025-04-03,09:50:50,SETUP,LONG,M1,19008.0,18968.0,19058.0,19132.5,1,6,2,2,112.0,3006.0,0,,0,0,0,0.0,-1600.0,0,0,0.9,0,1,0,v12.25-py
2025-04-03,09:50:50,EXIT,LONG,M1,19008.0,18968.0,19058.0,19132.5,1,6,2,2,112.0,3006.0,18968.0,STOP,6,49.75,42.0,-805.0,-2405.0,0,0,0.9,0,1,0,v12.25-py
2025-04-08,11:50:01,SETUP,SHORT,M1,18017.75,18057.75,17967.75,17892.75,1,7,-3,0,-498.0,3000.0,0,,0,0,0,0.0,-2405.0,0,0,0.9,0,1,0,v12.25-py
2025-04-08,11:50:01,EXIT,SHORT,M1,18017.75,18057.75,17967.75,17892.75,1,7,-3,0,-498.0,3000.0,18003.5,TRAIL,4,47.5,65.25,280.0,-2125.0,0,0,0.9,0,1,0,v12.25-py
2025-04-14,11:05:05,SETUP,SHORT,M1,19094.75,19134.75,19044.75,18969.75,1,5,-1,0,-106.0,3000.0,0,,0,0,0,0.0,-2125.0,0,0,0.9,0,1,0,v12.25-py
2025-04-14,11:05:05,EXIT,SHORT,M1,19094.75,19134.75,19044.75,18969.75,1,5,-1,0,-106.0,3000.0,18855.25,TRAIL,17,2.75,277.5,4785.0,2660.0,0,0,0.9,0,1,0,v12.25-py
2025-04-16,11:23:19,SETUP,LONG,M1,18668.0,18628.0,18712.25,18774.0,1,6,2,-2,434.0,3000.0,0,,0,0,0,0.0,2660.0,0,0,0.9,0,1,1,v12.25-py
2025-04-16,11:23:19,EXIT,LONG,M1,18668.0,18628.0,18712.25,18774.0,1,6,2,-2,434.0,3000.0,18678.75,TRAIL,5,1.0,67.0,210.0,2870.0,0,0,0.9,0,1,1,v12.25-py
